group,variable,value
Canada,South Africa,0.370
Canada,Algeria,0.472
Canada,Myanmar,0.193
Canada,Mali,2.014
Canada,Serbia,0.273
Canada,Argentina,0.096
Canada,Haiti,2.777
Canada,Zimbabwe,0.693
Canada,Nepal,0.519
Canada,Burkina Faso,1.040
Canada,Honduras,0.778
Canada,El Salvador,0.207
Canada,Malawi,1.124
Canada,Madagascar,0.224
Canada,Yemen,0.067
Canada,Cambodia,0.252
Canada,Somalia,0.238
Canada,Venezuela,0.031
Canada,Guatemala,0.294
Canada,Angola,0.176
Canada,Rwanda,0.823
Canada,Syria,0.109
Canada,Niger,0.992
Canada,Bosnia-Herzegovina,0.260
Canada,Lebanon,0.189
Canada,"Congo, Republic of",0.238
Canada,Ukraine,0.562
Canada,Ecuador,0.187
Canada,Jamaica,1.159
Canada,Benin,0.403
Canada,Dominican Republic,0.094
Canada,Liberia,0.055
Canada,Guinea,0.390
Canada,Chile,0.107
Canada,Laos,0.059
Canada,Costa Rica,0.286
Canada,Uzbekistan,0.005
Canada,Iran,0.019
Canada,Georgia,0.033
Canada,Sierra Leone,0.128
Canada,Chad,0.136
Canada,Burundi,0.125
Canada,Mauritania,0.108
Canada,Albania,0.016
Canada,Botswana,0.293
Canada,Togo,0.154
Canada,Mongolia,0.032
Canada,Namibia,0.030
Canada,Gabon,0.159
Canada,Cape Verde,0.017
Canada,Timor-Leste,0.058
Canada,South Sudan,0.233
Canada,Solomon Islands,0.002
Canada,Kazakhstan,0.022
Canada,Armenia,0.006
Canada,Paraguay,0.027
Canada,Panama,0.026
Canada,Azerbaijan,0.012
Canada,Kosovo,0.049
Canada,Kyrgyz Republic,0.014
Canada,Lesotho,0.185
Canada,Mauritius,0.012
Canada,Cuba,0.215
Canada,Central African Republic,0.040
Canada,"Macedonia, FYR",0.024
Canada,Guinea-Bissau,0.017
Canada,Guyana,0.567
Canada,Tajikistan,0.075
Canada,Eritrea,0.051
Canada,Croatia,0.013
Canada,Moldova,0.001
Canada,Djibouti,0.030
Canada,Bhutan,0.025
Canada,Swaziland,0.108
Canada,Uruguay,0.049
Canada,Gambia,0.029
Canada,Samoa,0.002
Canada,Belize,0.152
Canada,Turkmenistan,0.001
Canada,Comoros,0.004
Canada,Libya,0.014
Canada,Belarus,0.002
Canada,Maldives,0.014
Netherlands,Indonesia,6.626
Netherlands,India,6.978
Netherlands,Egypt,1.280
Netherlands,China,0.913
Netherlands,Iraq,0.468
Netherlands,Pakistan,2.142
Netherlands,Philippines,0.480
Netherlands,Bangladesh,4.711
Netherlands,Israel,0.031
Netherlands,Afghanistan,1.861
Netherlands,Viet Nam,1.281
Netherlands,Russia,0.059
Netherlands,Tanzania,4.332
Netherlands,Thailand,0.130
Netherlands,Mozambique,2.913
Netherlands,Turkey,0.208
Netherlands,Nigeria,0.505
Netherlands,Kenya,2.182
Netherlands,Brazil,0.087
Netherlands,Morocco,0.060
Netherlands,"Congo, Democratic Republic of",1.108
Netherlands,Mexico,0.053
Netherlands,Ethiopia,1.904
Netherlands,Sri Lanka,1.319
Netherlands,Sudan,2.928
Netherlands,Peru,0.889
Netherlands,Papua New Guinea,0.018
Netherlands,Zambia,1.675
Netherlands,Ghana,2.277
Netherlands,Jordan,0.056
Netherlands,Colombia,0.642
Netherlands,Poland,0.014
Netherlands,Tunisia,0.304
Netherlands,Cameroon,0.299
Netherlands,Cote d`Ivoire,0.180
Netherlands,Uganda,1.375
Netherlands,Bolivia,1.720
Netherlands,Malaysia,0.019
Netherlands,Senegal,0.754
Netherlands,Palestinian Adm. Areas,0.788
Netherlands,Nicaragua,1.360
Netherlands,South Africa,0.841
Netherlands,Algeria,0.040
Netherlands,Myanmar,0.159
Netherlands,Mali,1.868
Netherlands,Serbia,0.494
Netherlands,Argentina,0.012
Netherlands,Haiti,0.140
Netherlands,Zimbabwe,0.949
Netherlands,Nepal,0.247
Netherlands,Burkina Faso,1.762
Netherlands,Honduras,0.317
Netherlands,El Salvador,0.136
Netherlands,Malawi,0.299
Netherlands,Madagascar,0.045
Netherlands,Yemen,1.653
Netherlands,Cambodia,0.239
Netherlands,Somalia,0.428
Netherlands,Venezuela,0.021
Netherlands,Guatemala,0.524
Netherlands,Angola,0.688
Netherlands,Rwanda,1.207
Netherlands,Syria,0.132
Netherlands,Niger,0.272
Netherlands,Bosnia-Herzegovina,1.109
